,AUC,Precision,Recall,F1,Top1_Acc,Top3_Acc
LogReg,0.9623,0.4559,0.8863,0.6021,0.723,0.893
RF,0.9757,0.4932,0.9212,0.6424,0.7842,0.908
XGBoost,0.9684,0.4209,0.9251,0.5786,0.7598,0.8976
LGBM_Clf,0.9533,0.6099,0.8239,0.7009,0.7663,0.8964
LGBM_Rank,0.9563,0.7783,0.7326,0.7548,0.7913,0.9016
LogReg_tuned,0.9624,0.4569,0.8882,0.6034,0.7246,0.8932
RF_tuned,0.9771,0.5267,0.9169,0.6691,0.7959,0.9117
XGBoost_tuned,0.9727,0.4632,0.9184,0.6158,0.7714,0.9033
LGBM_tuned,0.9562,0.5554,0.8766,0.68,0.7735,0.9023
LGBM_Rank_tuned,0.9589,0.7959,0.7494,0.772,0.7995,0.9052
